,value
comprehensiveIncomeNetOfTax,58037000000
costOfRevenue,180027000000
costofGoodsAndServicesSold,161782000000
depreciation,11300000000
depreciationAndAmortization,12547000000
ebit,69313000000
ebitda,81860000000
fiscalDateEnding,2019-09-30
grossProfit,98392000000
incomeBeforeTax,65737000000
incomeTaxExpense,10481000000
interestAndDebtExpense,3576000000
interestExpense,3576000000
interestIncome,4961000000
investmentIncomeNet,4961000000
netIncome,55256000000
netIncomeFromContinuingOperations,55256000000
netInterestIncome,-3576000000
nonInterestIncome,260174000000
operatingExpenses,34462000000
operatingIncome,63930000000
otherNonOperatingIncome,422000000
reportedCurrency,USD
researchAndDevelopment,16217000000
sellingGeneralAndAdministrative,18245000000
totalRevenue,256598000000
